epoch,dice_coef,iou,loss,val_dice_coef,val_iou,val_loss
0,0.1811797320842743,0.10036181658506393,0.8188201785087585,0.1488324999809265,0.08162034302949905,0.8511675596237183
1,0.23334257304668427,0.13271772861480713,0.7681558728218079,0.2027578353881836,0.11443600058555603,0.7972422242164612
2,0.2531668245792389,0.14575879275798798,0.7484530806541443,0.24908952414989471,0.14374837279319763,0.7509104609489441
3,0.2728027403354645,0.1587088704109192,0.728509783744812,0.2709835171699524,0.15834656357765198,0.7290164828300476
4,0.2908264100551605,0.1711227148771286,0.711111307144165,0.2702403664588928,0.15757174789905548,0.7297597527503967
5,0.30142292380332947,0.1783716231584549,0.7004477977752686,0.2926371693611145,0.1728181540966034,0.7073628902435303
6,0.31543856859207153,0.1883612722158432,0.6869990229606628,0.24467508494853973,0.14045676589012146,0.7553249001502991
7,0.3237898051738739,0.19404076039791107,0.6780422925949097,0.2378869503736496,0.13600336015224457,0.762113094329834
8,0.3345257639884949,0.20178276300430298,0.6664851903915405,0.3161765933036804,0.1896076649427414,0.6838233470916748
9,0.34265002608299255,0.20773197710514069,0.6591418385505676,0.3171744644641876,0.19004015624523163,0.68282550573349
10,0.3532932996749878,0.21568048000335693,0.648823082447052,0.3561559021472931,0.21810589730739594,0.6438440084457397
11,0.3656861186027527,0.22478777170181274,0.6364996433258057,0.3416609764099121,0.20747578144073486,0.6583390235900879
12,0.37022483348846436,0.22817642986774445,0.6310640573501587,0.3540503978729248,0.2171219289302826,0.6459494233131409
13,0.38336560130119324,0.23853109776973724,0.6179516315460205,0.37523549795150757,0.2327074557542801,0.6247644424438477
14,0.3902028501033783,0.24357211589813232,0.6116245985031128,0.38029107451438904,0.23675888776779175,0.6197089552879333
15,0.39818036556243896,0.24995939433574677,0.6037060618400574,0.3889492452144623,0.2433282881975174,0.6110508441925049
16,0.4068213701248169,0.2570067048072815,0.5954185128211975,0.389335960149765,0.2436738759279251,0.6106640100479126
17,0.41512632369995117,0.26316288113594055,0.5867716073989868,0.4042380750179291,0.25542765855789185,0.5957619547843933
18,0.4222925901412964,0.2689526081085205,0.5796187520027161,0.41945353150367737,0.26774200797080994,0.5805464386940002
19,0.42773258686065674,0.27385538816452026,0.5750250220298767,0.4182097613811493,0.26649656891822815,0.5817902684211731
20,0.4350825846195221,0.2794398069381714,0.5664516687393188,0.4357337951660156,0.2811383605003357,0.5642662048339844
21,0.44351664185523987,0.2865394055843353,0.558732807636261,0.42152294516563416,0.26968613266944885,0.5784770846366882
22,0.45233678817749023,0.2939317524433136,0.5495316386222839,0.4366290867328644,0.2814085781574249,0.5633708834648132
23,0.459028959274292,0.29942047595977783,0.5429327487945557,0.45110124349594116,0.29377710819244385,0.5488987565040588
24,0.46714672446250916,0.30663561820983887,0.535068929195404,0.4506266713142395,0.2935068607330322,0.5493733286857605
25,0.4756059944629669,0.31367501616477966,0.5262711644172668,0.45056891441345215,0.29393187165260315,0.5494310259819031
26,0.4844910800457001,0.321352481842041,0.5176900625228882,0.4720938205718994,0.3112106919288635,0.5279061794281006
27,0.4871469736099243,0.32406505942344666,0.5156183838844299,0.470088392496109,0.31015148758888245,0.5299115777015686
28,0.49986183643341064,0.3355589509010315,0.5028330683708191,0.48470282554626465,0.3226640224456787,0.5152971744537354
