epoch,dice_coef,iou,loss,val_dice_coef,val_iou,val_loss
0,0.4323870837688446,0.2796514928340912,0.5676129460334778,0.5005338788032532,0.33380916714668274,0.49946609139442444
1,0.4364664852619171,0.283825546503067,0.5525050759315491,0.25080642104148865,0.1433853805065155,0.7491934895515442
2,0.38645389676094055,0.25164854526519775,0.6145477294921875,0.16336870193481445,0.08895140886306763,0.8366312980651855
3,0.3196611702442169,0.1908855438232422,0.6824716925621033,0.40579795837402344,0.2545473873615265,0.5942020416259766
4,0.35126519203186035,0.2183011770248413,0.6479367613792419,0.4746914803981781,0.3112114667892456,0.5253084897994995
5,0.43746694922447205,0.28734925389289856,0.5625330805778503,0.476438045501709,0.3127146065235138,0.523561954498291
6,0.4554315209388733,0.2977563440799713,0.5387058854103088,0.41120433807373047,0.25881657004356384,0.5887956619262695
7,0.3828865885734558,0.24312946200370789,0.6175962686538696,0.21270878612995148,0.11901361495256424,0.7872912287712097
8,0.3648301661014557,0.22439688444137573,0.6397214531898499,0.17689764499664307,0.09703250974416733,0.8231022953987122
9,0.3896207809448242,0.24674737453460693,0.6119504570960999,0.21651345491409302,0.12140043079853058,0.783486545085907
10,0.4005739092826843,0.2660723328590393,0.5994260907173157,0.4602036774158478,0.2988743782043457,0.5397963523864746
