epoch,dice_coef,iou,loss,val_dice_coef,val_iou,val_loss
0,0.7233605980873108,0.5721616148948669,0.3811033368110657,0.7595388889312744,0.6131786108016968,0.3307386338710785
1,0.7479488253593445,0.6024293899536133,0.31308305263519287,0.6798968315124512,0.5210163593292236,0.3862040936946869
2,0.6938974857330322,0.5355107188224792,0.3983544111251831,0.792678713798523,0.6570734977722168,0.2890600860118866
3,0.6999304890632629,0.5393922328948975,0.3886661231517792,0.7274153828620911,0.5716374516487122,0.33865419030189514
4,0.6723534464836121,0.5065717697143555,0.42631208896636963,0.7081461548805237,0.5489100217819214,0.35554561018943787
5,0.7383292317390442,0.588956892490387,0.3276330530643463,0.6324145793914795,0.46511706709861755,0.42808613181114197
6,0.6904273629188538,0.5332426428794861,0.4211381673812866,0.6582188010215759,0.4912568926811218,0.40594521164894104
7,0.6008697748184204,0.43459105491638184,0.5001732110977173,0.6726967096328735,0.5074449777603149,0.4005569517612457
8,0.7224143147468567,0.5683518052101135,0.39070364832878113,0.7635543346405029,0.6181859970092773,0.308319091796875
9,0.7379578948020935,0.5896325707435608,0.3216264843940735,0.7027931213378906,0.5451415181159973,0.3848002851009369
10,0.6950724720954895,0.5364201664924622,0.3988015353679657,0.6789321899414062,0.5214141607284546,0.41480138897895813
11,0.6635289788246155,0.5003669857978821,0.4116644859313965,0.7294166088104248,0.5740804672241211,0.35635480284690857
12,0.7048547267913818,0.5447377562522888,0.40519359707832336,0.7837061882019043,0.6445252895355225,0.29213789105415344
